osmid,y,x,street_count,highway,railway,ref,junction,geometry
378521,48.2029809,16.2888861,3,,,,,POINT (16.2888861 48.2029809)
378522,48.2032878,16.2904919,3,,,,,POINT (16.2904919 48.2032878)
378524,48.2012234,16.2922283,3,,,,,POINT (16.2922283 48.2012234)
378526,48.2006019,16.2924295,3,,,,,POINT (16.2924295 48.2006019)
378528,48.1986027,16.2946775,3,,,,,POINT (16.2946775 48.1986027)
378529,48.1986077,16.2930993,3,,,,,POINT (16.2930993 48.1986077)
378532,48.1985961,16.290208,3,,,,,POINT (16.290208 48.1985961)
378533,48.199548,16.2900333,3,,,,,POINT (16.2900333 48.199548)
378535,48.1986811,16.2872641,3,,,,,POINT (16.2872641 48.1986811)
378547,48.2096909,16.3053768,3,,,,,POINT (16.3053768 48.2096909)
378551,48.2095171,16.3064502,4,,,,,POINT (16.3064502 48.2095171)
378556,48.2107098,16.3068608,4,,,,,POINT (16.3068608 48.2107098)
378571,48.2103646,16.3091806,4,,,,,POINT (16.3091806 48.2103646)
378582,48.2102007,16.3102401,3,traffic_signals,,,,POINT (16.3102401 48.2102007)
378588,48.2114839,16.3106851,4,traffic_signals,,,,POINT (16.3106851 48.2114839)
378593,48.2116437,16.3096171,4,,,,,POINT (16.3096171 48.2116437)
378601,48.2140162,16.3022701,3,,,,,POINT (16.3022701 48.2140162)
378618,48.2072419,16.3125631,3,,,,,POINT (16.3125631 48.2072419)
378627,48.2052981,16.3254263,4,,,,,POINT (16.3254263 48.2052981)
378628,48.209328,16.3247731,4,,,,,POINT (16.3247731 48.209328)
378629,48.2106064,16.3252037,4,traffic_signals,,,,POINT (16.3252037 48.2106064)
378630,48.211218,16.3254075,3,,,,,POINT (16.3254075 48.211218)
378642,48.21031,16.3271266,4,,,,,POINT (16.3271266 48.21031)
378653,48.2090382,16.3266715,4,,,,,POINT (16.3266715 48.2090382)
378655,48.2077626,16.3262565,4,,,,,POINT (16.3262565 48.2077626)
378671,48.2048546,16.3282896,4,,,,,POINT (16.3282896 48.2048546)
378675,48.2073271,16.3291379,4,traffic_signals,,,,POINT (16.3291379 48.2073271)
378680,48.2085944,16.3295803,4,,,,,POINT (16.3295803 48.2085944)
378691,48.2080505,16.3243315,4,traffic_signals,,,,POINT (16.3243315 48.2080505)
378692,48.2042232,16.3324159,3,,,,,POINT (16.3324159 48.2042232)
378696,48.2173242,16.3416615,4,,,,,POINT (16.3416615 48.2173242)
378699,48.2172288,16.3424207,4,,,,,POINT (16.3424207 48.2172288)
378700,48.2168208,16.3445443,4,,,,,POINT (16.3445443 48.2168208)
378701,48.2174711,16.3462268,3,,,,,POINT (16.3462268 48.2174711)
378720,48.2177309,16.3498011,3,,,,,POINT (16.3498011 48.2177309)
378721,48.2188901,16.3516278,4,,,,,POINT (16.3516278 48.2188901)
378727,48.2250679,16.3498014,4,,,,,POINT (16.3498014 48.2250679)
378728,48.2236212,16.34944,3,,,,,POINT (16.34944 48.2236212)
378932,48.2340117,16.3715203,4,,,,,POINT (16.3715203 48.2340117)
378950,48.2335616,16.365908,4,traffic_signals,,,,POINT (16.365908 48.2335616)
378953,48.2410057,16.371785,3,,,,,POINT (16.371785 48.2410057)
378956,48.2317324,16.3720339,3,,,,,POINT (16.3720339 48.2317324)
378957,48.2332771,16.3747492,4,,,,,POINT (16.3747492 48.2332771)
378958,48.2338661,16.3764681,3,,,,,POINT (16.3764681 48.2338661)
378960,48.235094,16.375685,3,,,,,POINT (16.375685 48.235094)
378965,48.2389589,16.388938,3,traffic_signals,,,,POINT (16.388938 48.2389589)
378967,48.2420154,16.3743759,3,,,,,POINT (16.3743759 48.2420154)
378968,48.2422651,16.3743505,4,,,,,POINT (16.3743505 48.2422651)
378973,48.23435,16.3941518,4,traffic_signals,,,,POINT (16.3941518 48.23435)
378982,48.2055622,16.4312449,4,traffic_signals,,,,POINT (16.4312449 48.2055622)
378985,48.2023554,16.4299561,3,,,,,POINT (16.4299561 48.2023554)
378986,48.2094251,16.4403015,3,,,,,POINT (16.4403015 48.2094251)
378987,48.1935123,16.4170446,3,,,,,POINT (16.4170446 48.1935123)
379004,48.2124463,16.4449716,3,motorway_junction,,,,POINT (16.4449716 48.2124463)
379014,48.1905125,16.4128999,4,motorway_junction,,,,POINT (16.4128999 48.1905125)
379092,48.2478671,16.393911,3,motorway_junction,,,,POINT (16.393911 48.2478671)
379108,48.2115877,16.4396375,3,motorway_junction,,,,POINT (16.4396375 48.2115877)
380093,48.2331045,16.3732779,4,,,,,POINT (16.3732779 48.2331045)
380094,48.2329165,16.3717933,4,,,,,POINT (16.3717933 48.2329165)
380105,48.1995503,16.268996,4,traffic_signals,,,,POINT (16.268996 48.1995503)
380106,48.200704,16.2654301,3,,,,,POINT (16.2654301 48.200704)
380107,48.2011516,16.264169,3,traffic_signals,,,,POINT (16.264169 48.2011516)
380111,48.2018107,16.2609,4,traffic_signals,,,,POINT (16.2609 48.2018107)
380124,48.2020074,16.2571432,4,traffic_signals,,,,POINT (16.2571432 48.2020074)
380125,48.2028205,16.2548995,3,,,,,POINT (16.2548995 48.2028205)
380150,48.2077418,16.2274069,3,,,,,POINT (16.2274069 48.2077418)
380153,48.2089936,16.2239966,4,traffic_signals,,,,POINT (16.2239966 48.2089936)
380159,48.2091931,16.2125945,4,,,,,POINT (16.2125945 48.2091931)
380191,48.2107839,16.2203786,3,,,,,POINT (16.2203786 48.2107839)
380193,48.2122284,16.2228052,4,,,,,POINT (16.2228052 48.2122284)
380957,48.1383921,16.2601462,3,,,,,POINT (16.2601462 48.1383921)
380974,48.1481004,16.2622835,3,,,,,POINT (16.2622835 48.1481004)
380989,48.147946,16.2644333,3,,,,,POINT (16.2644333 48.147946)
381002,48.150576,16.2688685,4,traffic_signals,,,,POINT (16.2688685 48.150576)
381025,48.1602986,16.2769744,3,,,,,POINT (16.2769744 48.1602986)
381027,48.1683129,16.2840079,3,traffic_signals,,,,POINT (16.2840079 48.1683129)
381036,48.1698911,16.2859526,4,,,,,POINT (16.2859526 48.1698911)
381037,48.1592503,16.2788934,3,,,,,POINT (16.2788934 48.1592503)
381039,48.1561958,16.280345,4,,,,,POINT (16.280345 48.1561958)
381040,48.1533957,16.2798593,4,,,,,POINT (16.2798593 48.1533957)
381041,48.1514559,16.2838741,4,,,,,POINT (16.2838741 48.1514559)
381042,48.1501086,16.2840661,3,,,,,POINT (16.2840661 48.1501086)
381043,48.1484082,16.2891423,3,,,,,POINT (16.2891423 48.1484082)
381049,48.1386117,16.2860927,3,,,,,POINT (16.2860927 48.1386117)
381050,48.1372895,16.2851774,3,,,,,POINT (16.2851774 48.1372895)
381053,48.1342774,16.2888355,3,,,,,POINT (16.2888355 48.1342774)
381054,48.1323563,16.288632,4,,,,,POINT (16.288632 48.1323563)
381084,48.1259129,16.2988668,3,,,,,POINT (16.2988668 48.1259129)
381088,48.1372914,16.2982162,4,,,,,POINT (16.2982162 48.1372914)
381095,48.1490933,16.295474,4,,,,,POINT (16.295474 48.1490933)
381099,48.1461925,16.2971581,3,,,,,POINT (16.2971581 48.1461925)
381103,48.15124,16.2961483,3,,,,,POINT (16.2961483 48.15124)
381126,48.162402,16.2914384,4,,,,,POINT (16.2914384 48.162402)
381137,48.1702477,16.2872579,4,,,,,POINT (16.2872579 48.1702477)
381147,48.1762234,16.2839549,3,traffic_signals,,,,POINT (16.2839549 48.1762234)
381149,48.1771141,16.2836548,3,traffic_signals,,,,POINT (16.2836548 48.1771141)
381151,48.1790128,16.2841843,3,,,,,POINT (16.2841843 48.1790128)
381155,48.1748815,16.2871589,3,,,,,POINT (16.2871589 48.1748815)
381159,48.1720142,16.2971003,5,traffic_signals,,,,POINT (16.2971003 48.1720142)
381160,48.1704929,16.2963863,4,traffic_signals,,,,POINT (16.2963863 48.1704929)
381169,48.168478,16.3031991,4,,,,,POINT (16.3031991 48.168478)
381170,48.1679228,16.3048518,3,,,,,POINT (16.3048518 48.1679228)
381173,48.1673816,16.3076971,3,,,,,POINT (16.3076971 48.1673816)
381176,48.1635523,16.3052881,4,,,,,POINT (16.3052881 48.1635523)
381179,48.1616127,16.3072322,3,,,,,POINT (16.3072322 48.1616127)
381186,48.1705409,16.3041358,1,,,,,POINT (16.3041358 48.1705409)
381189,48.1712727,16.3044973,3,,,,,POINT (16.3044973 48.1712727)
381192,48.1741471,16.2995021,3,,,,,POINT (16.2995021 48.1741471)
381196,48.1765548,16.2950415,4,,,,,POINT (16.2950415 48.1765548)
381199,48.1829678,16.2975834,3,,,,,POINT (16.2975834 48.1829678)
381200,48.1761556,16.2978527,3,,,,,POINT (16.2978527 48.1761556)
381202,48.1842006,16.3003235,3,,,,,POINT (16.3003235 48.1842006)
381203,48.1832949,16.2954068,3,,,,,POINT (16.2954068 48.1832949)
381205,48.184643,16.2969074,3,,,,,POINT (16.2969074 48.184643)
381207,48.1846817,16.298108,3,,,,,POINT (16.298108 48.1846817)
381216,48.1852988,16.2961784,3,,,,,POINT (16.2961784 48.1852988)
381224,48.1594824,16.3085225,4,,,,,POINT (16.3085225 48.1594824)
381225,48.1602486,16.309546,4,,,,,POINT (16.309546 48.1602486)
381226,48.1644968,16.315209,5,traffic_signals,,,,POINT (16.315209 48.1644968)
381231,48.1659923,16.3132226,3,,,,,POINT (16.3132226 48.1659923)
381234,48.1901288,16.2775555,4,,,,,POINT (16.2775555 48.1901288)
381235,48.1902495,16.2750843,4,,,,,POINT (16.2750843 48.1902495)
381237,48.1907284,16.2707082,3,,,,,POINT (16.2707082 48.1907284)
381245,48.1948687,16.261685,3,,,,,POINT (16.261685 48.1948687)
381418,48.1505636,16.3208694,4,,,,,POINT (16.3208694 48.1505636)
381421,48.1511154,16.3208568,3,,,,,POINT (16.3208568 48.1511154)
381447,48.1378102,16.3246502,6,,,,,POINT (16.3246502 48.1378102)
381451,48.1378175,16.3247741,6,,,,,POINT (16.3247741 48.1378175)
381511,48.1574286,16.3229346,3,,,,,POINT (16.3229346 48.1574286)
381558,48.1490309,16.3369992,3,motorway_junction,,1,,POINT (16.3369992 48.1490309)
381559,48.148385,16.3366385,3,,,,,POINT (16.3366385 48.148385)
381569,48.1415794,16.334869,3,,,,,POINT (16.334869 48.1415794)
381579,48.1414274,16.3336548,3,,,,,POINT (16.3336548 48.1414274)
381698,48.2053432,16.2568825,3,,,,,POINT (16.2568825 48.2053432)
381724,48.2507901,16.2857156,3,,,,,POINT (16.2857156 48.2507901)
381745,48.2532484,16.3011106,1,,,,,POINT (16.3011106 48.2532484)
381750,48.2525956,16.3080727,4,,,,,POINT (16.3080727 48.2525956)
381752,48.25052,16.3075554,3,,,,,POINT (16.3075554 48.25052)
381763,48.2565176,16.2948788,1,,,,,POINT (16.2948788 48.2565176)
381788,48.2432942,16.3215079,3,traffic_signals,,,,POINT (16.3215079 48.2432942)
381794,48.2385627,16.3258941,4,,,,,POINT (16.3258941 48.2385627)
392001,48.1828061,16.2759274,4,,,,,POINT (16.2759274 48.1828061)
392058,48.1456135,16.3378856,3,,,,,POINT (16.3378856 48.1456135)
392073,48.1890845,16.271993,4,,,,,POINT (16.271993 48.1890845)
392129,48.2073217,16.2823239,3,,,,,POINT (16.2823239 48.2073217)
392175,48.1919778,16.2778473,3,crossing,,,,POINT (16.2778473 48.1919778)
392196,48.181605,16.2807467,3,,,,,POINT (16.2807467 48.181605)
392224,48.2221545,16.3333166,4,,,,,POINT (16.3333166 48.2221545)
392229,48.1588095,16.3115558,3,,,,,POINT (16.3115558 48.1588095)
392251,48.226886,16.3436724,4,,,,,POINT (16.3436724 48.226886)
392283,48.1925995,16.3258559,3,,,,,POINT (16.3258559 48.1925995)
392301,48.2222852,16.3416439,4,traffic_signals,,,,POINT (16.3416439 48.2222852)
392318,48.234783,16.3278003,3,,,,,POINT (16.3278003 48.234783)
392321,48.1709455,16.2828362,4,,,,,POINT (16.2828362 48.1709455)
392331,48.1876247,16.2748756,4,,,,,POINT (16.2748756 48.1876247)
392351,48.2180617,16.364822,4,traffic_signals,,,,POINT (16.364822 48.2180617)
392442,48.224684,16.3479451,4,,,,,POINT (16.3479451 48.224684)
392479,48.2035365,16.3643365,3,,,,,POINT (16.3643365 48.2035365)
392482,48.2240851,16.3228752,4,,,,,POINT (16.3228752 48.2240851)
392502,48.1890494,16.2734079,4,,,,,POINT (16.2734079 48.1890494)
392517,48.1366363,16.3059094,4,,,,,POINT (16.3059094 48.1366363)
392558,48.1871684,16.287856,5,,,,,POINT (16.287856 48.1871684)
392570,48.2091423,16.3088108,3,,,,,POINT (16.3088108 48.2091423)
392593,48.166149,16.3874046,3,motorway_junction,,,,POINT (16.3874046 48.166149)
392615,48.2409491,16.3319875,3,,,,,POINT (16.3319875 48.2409491)
392653,48.1940912,16.2983097,4,,,,,POINT (16.2983097 48.1940912)
392671,48.1893389,16.3377163,3,,,,,POINT (16.3377163 48.1893389)
392691,48.2045789,16.2864341,4,,,,,POINT (16.2864341 48.2045789)
392790,48.2165371,16.3661993,4,traffic_signals,,,,POINT (16.3661993 48.2165371)
392847,48.2260095,16.3500044,4,,,,,POINT (16.3500044 48.2260095)
392873,48.193413,16.3103698,4,,,,,POINT (16.3103698 48.193413)
392878,48.1968936,16.3078595,4,,,,,POINT (16.3078595 48.1968936)
392889,48.2243355,16.3176573,4,,,,,POINT (16.3176573 48.2243355)
392919,48.1960868,16.3204664,4,,,,,POINT (16.3204664 48.1960868)
392943,48.1791373,16.280189,3,,,,,POINT (16.280189 48.1791373)
393097,48.228131,16.3365477,4,crossing,,,,POINT (16.3365477 48.228131)
393121,48.2001572,16.2521982,3,,,,,POINT (16.2521982 48.2001572)
393143,48.207528,16.3087986,3,,,,,POINT (16.3087986 48.207528)
393155,48.1910539,16.3757925,3,,,,,POINT (16.3757925 48.1910539)
393161,48.1946568,16.3359958,4,,,,,POINT (16.3359958 48.1946568)
393205,48.1924015,16.3163207,5,traffic_signals,,,,POINT (16.3163207 48.1924015)
393240,48.1861837,16.2797586,5,,,,,POINT (16.2797586 48.1861837)
393250,48.1961772,16.2605635,3,,,,,POINT (16.2605635 48.1961772)
393254,48.1922087,16.2750868,3,crossing,,,,POINT (16.2750868 48.1922087)
393287,48.1932807,16.3114172,3,traffic_signals,,,,POINT (16.3114172 48.1932807)
393303,48.190317,16.3152284,4,,,,,POINT (16.3152284 48.190317)
393330,48.1513915,16.3461093,4,motorway_junction,,2,,POINT (16.3461093 48.1513915)
393334,48.2039361,16.3637175,3,,,,,POINT (16.3637175 48.2039361)
393373,48.2262225,16.3482783,4,traffic_signals,,,,POINT (16.3482783 48.2262225)
393409,48.1943905,16.2955771,4,,,,,POINT (16.2955771 48.1943905)
393412,48.1917026,16.2711032,3,,,,,POINT (16.2711032 48.1917026)
393417,48.2119945,16.3073055,4,,,,,POINT (16.3073055 48.2119945)
393435,48.1765058,16.275764,3,,,,,POINT (16.275764 48.1765058)
393463,48.1896983,16.3063707,3,,,,,POINT (16.3063707 48.1896983)
393530,48.2144799,16.3068627,5,traffic_signals,,,,POINT (16.3068627 48.2144799)
393568,48.2082498,16.3060107,3,,,,,POINT (16.3060107 48.2082498)
393659,48.2370873,16.3334009,3,,,,,POINT (16.3334009 48.2370873)
393661,48.1907315,16.3204764,4,traffic_signals,,,,POINT (16.3204764 48.1907315)
393667,48.192858,16.2740947,4,,,,,POINT (16.2740947 48.192858)
393714,48.1887835,16.2749674,3,,,,,POINT (16.2749674 48.1887835)
393729,48.1824004,16.283733,4,,,,,POINT (16.283733 48.1824004)
393751,48.1661821,16.2723555,3,,,,,POINT (16.2723555 48.1661821)
393753,48.1722468,16.2793265,3,,,,,POINT (16.2793265 48.1722468)
393772,48.213276,16.3077531,3,,,,,POINT (16.3077531 48.213276)
393783,48.1973271,16.3718056,3,traffic_signals,,,,POINT (16.3718056 48.1973271)
393784,48.2234886,16.3155402,5,,,,,POINT (16.3155402 48.2234886)
393912,48.2138047,16.3725889,3,,,,,POINT (16.3725889 48.2138047)
393922,48.2189738,16.3651854,4,,,,,POINT (16.3651854 48.2189738)
393924,48.2229689,16.3340208,4,,,,,POINT (16.3340208 48.2229689)
393947,48.1936074,16.3020676,4,,,,,POINT (16.3020676 48.1936074)
394031,48.1899354,16.2722846,1,,,,,POINT (16.2722846 48.1899354)
394058,48.2395705,16.3434903,5,,,,,POINT (16.3434903 48.2395705)
394065,48.1575652,16.3098877,4,,,,,POINT (16.3098877 48.1575652)
394078,48.2182978,16.3656171,4,,,,,POINT (16.3656171 48.2182978)
394082,48.1896001,16.2734936,3,,,,,POINT (16.2734936 48.1896001)
394110,48.2345464,16.3274548,3,,,,,POINT (16.3274548 48.2345464)
394115,48.1711873,16.2805856,3,,,,,POINT (16.2805856 48.1711873)
394145,48.1967762,16.305864,4,,,,,POINT (16.305864 48.1967762)
394164,48.1961541,16.3194634,4,,,,,POINT (16.3194634 48.1961541)
394171,48.2280425,16.338237,3,,,,,POINT (16.338237 48.2280425)
394273,48.2018984,16.2339866,3,,,,,POINT (16.2339866 48.2018984)
394283,48.2045729,16.3569185,3,,,,,POINT (16.3569185 48.2045729)
394310,48.1518434,16.3475661,3,,,,,POINT (16.3475661 48.1518434)
394337,48.2026047,16.361474,4,,,,,POINT (16.361474 48.2026047)
394354,48.1677669,16.2809528,4,,,,,POINT (16.2809528 48.1677669)
394359,48.1990974,16.3752919,4,,,,,POINT (16.3752919 48.1990974)
394413,48.1862088,16.2745969,4,,,,,POINT (16.2745969 48.1862088)
394427,48.1936116,16.3081953,5,,,,,POINT (16.3081953 48.1936116)
394435,48.1924758,16.2780261,3,,,,,POINT (16.2780261 48.1924758)
394443,48.2062095,16.2893523,3,,,,,POINT (16.2893523 48.2062095)
394507,48.2051298,16.2720238,3,,,,,POINT (16.2720238 48.2051298)
394514,48.1926144,16.2994849,3,,,,,POINT (16.2994849 48.1926144)
394570,48.1914708,16.3288069,4,,,,,POINT (16.3288069 48.1914708)
394638,48.2446983,16.3797864,3,traffic_signals,,,,POINT (16.3797864 48.2446983)
394640,48.196782,16.3098405,4,,,,,POINT (16.3098405 48.196782)
394751,48.2253177,16.3480705,4,,,,,POINT (16.3480705 48.2253177)
394760,48.179147,16.2806861,3,,,,,POINT (16.2806861 48.179147)
394761,48.1911284,16.337162,3,,,,,POINT (16.337162 48.1911284)
394793,48.2409324,16.3488476,3,,,,,POINT (16.3488476 48.2409324)
394803,48.2238422,16.3157593,3,,,,,POINT (16.3157593 48.2238422)
394807,48.1898317,16.305652,3,,,,,POINT (16.305652 48.1898317)
394842,48.201519,16.2368399,3,,,,,POINT (16.2368399 48.201519)
394856,48.1890025,16.2749785,3,,,,,POINT (16.2749785 48.1890025)
394867,48.2370753,16.3387871,3,crossing,,,,POINT (16.3387871 48.2370753)
394868,48.2129351,16.3741419,3,,,,,POINT (16.3741419 48.2129351)
394869,48.1919015,16.3322839,3,,,,,POINT (16.3322839 48.1919015)
394889,48.2450608,16.366196,4,traffic_signals,,,,POINT (16.366196 48.2450608)
394907,48.2252331,16.3181612,3,,,,,POINT (16.3181612 48.2252331)
394929,48.2118259,16.3084397,4,,,,,POINT (16.3084397 48.2118259)
394936,48.2249586,16.31941,3,crossing,,,,POINT (16.31941 48.2249586)
394989,48.226846,16.335796,4,,,,,POINT (16.335796 48.226846)
394992,48.190463,16.3761199,3,,,,,POINT (16.3761199 48.190463)
395004,48.1810517,16.2779643,4,,,,,POINT (16.2779643 48.1810517)
395057,48.1990563,16.2544912,4,,,,,POINT (16.2544912 48.1990563)
395058,48.2457356,16.3805875,3,,,,,POINT (16.3805875 48.2457356)
395060,48.1873238,16.281455,3,,,,,POINT (16.281455 48.1873238)
395073,48.2371725,16.3651778,4,,,,,POINT (16.3651778 48.2371725)
395127,48.1846466,16.3337179,3,traffic_signals,,,,POINT (16.3337179 48.1846466)
395134,48.2407585,16.3341413,3,traffic_signals,,,,POINT (16.3341413 48.2407585)
395143,48.1883747,16.3384221,3,,,,,POINT (16.3384221 48.1883747)
395151,48.1895618,16.3089639,3,,,,,POINT (16.3089639 48.1895618)
395153,48.1970781,16.3289893,4,,,,,POINT (16.3289893 48.1970781)
395235,48.1511626,16.3172247,4,,,,,POINT (16.3172247 48.1511626)
395262,48.1905816,16.337218,3,,,,,POINT (16.337218 48.1905816)
395277,48.1913026,16.2752977,3,,,,,POINT (16.2752977 48.1913026)
395288,48.1688867,16.2798197,3,,,,,POINT (16.2798197 48.1688867)
395357,48.2065343,16.2959455,3,,,,,POINT (16.2959455 48.2065343)
395433,48.2290044,16.3285968,3,,,,,POINT (16.3285968 48.2290044)
395455,48.2100466,16.2712019,3,,,,,POINT (16.2712019 48.2100466)
395457,48.2078764,16.3084625,3,,,,,POINT (16.3084625 48.2078764)
395472,48.2064092,16.2887824,3,,,,,POINT (16.2887824 48.2064092)
395521,48.2238639,16.3144592,4,,,,,POINT (16.3144592 48.2238639)
395524,48.1770982,16.2798345,3,,,,,POINT (16.2798345 48.1770982)
395578,48.1829649,16.2824503,3,,,,,POINT (16.2824503 48.1829649)
395603,48.1821816,16.2842542,4,,,,,POINT (16.2842542 48.1821816)
395632,48.2171641,16.3655002,3,,,,,POINT (16.3655002 48.2171641)
395640,48.1927371,16.2700569,3,,,,,POINT (16.2700569 48.1927371)
395666,48.2450623,16.3628365,4,,,,,POINT (16.3628365 48.2450623)
395695,48.1923654,16.2739679,4,,,,,POINT (16.2739679 48.1923654)
395711,48.2105407,16.3080036,4,,,,,POINT (16.3080036 48.2105407)
